Particulars,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Gross Profit,178585.3,177935.1,197158,226003.2,263115,312614.9,347411.4,367680.5,381860.6,397125,HCLTECH
Selling General & Admin Exp.,58555.3,66358.3,68785.2,76133.8,85720.7,101937,105599.7,121197.8,131207.2,136879.3,HCLTECH
R & D Exp.,,,,1626,11016.6,15096,15764.9,17099.5,16932.7,16599,HCLTECH
Depreciation & Amort.,6923.2,7232.2,10396.3,18780.5,25580.2,33300.9,51965.7,48379,42873.8,41956.3,HCLTECH
Other Operating Expense/(Income),,,,,,,,,,,HCLTECH
"Other Operating Exp., Total",65478.5,73590.6,79181.5,96540.3,122317.5,150333.9,173330.3,186676.3,191013.7,195434.6,HCLTECH
Operating Income,113106.8,104344.5,117976.5,129462.9,140797.5,162281,174081.1,181004.3,190846.9,201690.5,HCLTECH
Interest Expense,,-1213.3,-1072.3,-1260.7,-2076.4,-4254.9,-4170.6,-2752.6,-3670.1,-5588.6,HCLTECH
Interest and Invest. Income,,10738.8,9808.5,5988.2,6749.5,5258.7,7256.9,6506.1,7924.1,12762.1,HCLTECH
Net Interest Exp.,,9525.5,8736.2,4727.5,4673.2,1003.8,3086.2,3753.5,4254,7173.4,HCLTECH
Income/(Loss) from Affiliates,,120.5,36.4,190.8,48.4,4.4,83.4,166.8,,,HCLTECH
Currency Exchange Gains (Loss),11510.9,944.8,2341.5,6963.3,2163.4,-154.9,500.5,3670.1,917.5,,HCLTECH
Other Non-Operating Inc. (Exp.),,182.8,100.2,72.5,316,157.5,-1167.8,-417.1,667.3,583.9,HCLTECH
EBT Excl. Unusual Items,124617.7,115118.2,129190.7,141417,147998.4,163291.8,176583.4,188177.7,196685.7,209447.8,HCLTECH
Impairment of Goodwill,,,,,,,,,,,HCLTECH
Gain (Loss) On Sale Of Invest.,,235.6,488.9,1992.2,1954.8,1125.7,1000.9,1000.9,1167.8,1584.8,HCLTECH
Gain (Loss) On Sale Of Assets,,1817.6,-73.4,19,33.5,-4.8,1167.8,166.8,1668.2,83.4,HCLTECH
Other Unusual Items,,,,,,-23.5,,,1751.7,,HCLTECH
EBT Incl. Unusual Items,124617.7,117171.4,129606.2,143428.3,149986.7,164389.2,178752.1,189345.5,201273.4,211116,HCLTECH
Income Tax Expense,25357.3,23903,24302.4,29948.5,29555.6,34421.1,52799.9,38369.6,48128.8,52883.3,HCLTECH
Earnings from Cont. Ops.,99260.4,93268.4,105303.9,113479.7,120431.1,129968.1,125952.3,150975.9,153144.6,158232.8,HCLTECH
Earnings of Discontinued Ops.,,,,,,,,,,,HCLTECH
Extraord. Item & Account. Change,,,,,,,,,,,HCLTECH
Net Income to Company,99260.4,93268.4,105303.9,113479.7,120431.1,129968.1,125952.3,150975.9,153144.6,158232.8,HCLTECH
Minority Int. in Earnings,,11.8,-1.7,-18.6,-255,-370.1,-250.2,-250.2,83.4,-83.4,HCLTECH
Net Income,99260.4,93280.3,105302.2,113461.1,120176.1,129598,125702,150725.7,153228,158149.3,HCLTECH
Pref. Dividends and Other Adj.,,,,,,,,,,,HCLTECH
NI to Common Incl Extra Items,99260.4,93280.3,105302.2,113461.1,120176.1,129598,125702,150725.7,153228,158149.3,HCLTECH
NI to Common Excl. Extra Items,99260.4,93280.3,105302.2,113461.1,120176.1,129598,125702,150725.7,153228,158149.3,HCLTECH
Per Share Items,,,,,,,,,,,HCLTECH
Basic EPS,34.6,33.1,37.3,40.5,43.7,47.8,46.3,55.6,56.6,58.4,HCLTECH
Basic EPS Excl. Extra Items,34.6,33.1,37.3,40.5,43.7,47.8,46.3,55.6,56.6,58.4,HCLTECH
Weighted Avg. Basic Shares Out.,2872.3,2814.7,2822.9,2802.7,2750.7,2713.1,2713.7,2712,2707.4,2707.8,HCLTECH
Diluted EPS,34.6,33.1,37.1,40.5,43.4,47.5,46.3,55.6,56.6,58.4,HCLTECH
Diluted EPS Excl. Extra Items,34.6,33.1,37.1,40.5,43.4,47.5,46.3,55.6,56.6,58.4,HCLTECH
Weighted Avg. Diluted Shares Out.,2872.3,2822.7,2825.3,2804.4,2751.7,2713.7,2713.7,2712.4,2710.7,2713.9,HCLTECH
Normalized Basic EPS,27.1,25.6,28.6,31.5,33.5,37.5,40.6,43.3,45.4,48.3,HCLTECH
Normalized Diluted EPS,27.1,25.5,28.6,31.5,33.5,37.5,40.6,43.3,45.4,48.2,HCLTECH
Dividends per Share,,,15.4,7.7,4.8,7.8,11.4,35.2,48.8,52.1,HCLTECH
Payout Ratio %,,0.5,0.5,0.2,0.1,0.1,0.3,0.6,0.9,0.9,HCLTECH
Supplemental Items,,,,,,,,,,,HCLTECH
EBITDA,120030,111576.8,128372.8,148243.4,166377.8,195581.9,218289.5,216371,221208.9,230300.8,HCLTECH
EBITA,113106.8,104980.9,119569.7,137003.4,152591.8,179405.1,202274.3,200105.6,205944.5,215536.9,HCLTECH
EBIT,113106.8,104344.5,117976.5,129462.9,140797.5,162281,174081.1,181004.3,190846.9,201690.5,HCLTECH
Interest Income On Loans,506664.9,631615.6,732713.5,852878.4,1051607.4,1221892.9,1285524,1359364.1,1707540.5,2179793.4,HDFCBANK
Interest Income On Investments,,,,,,,,,,656696.8,HDFCBANK
Total Interest Income,506664.9,631615.6,732713.5,852878.4,1051607.4,1221892.9,1285524,1359364.1,1707540.5,2836490.2,HDFCBANK
Interest On Deposits,272884.6,340695.7,380415.8,423814.8,537126.9,621374.2,592475.9,585843.3,777799.4,1541385.5,HDFCBANK
Total Interest Expense,272884.6,340695.7,380415.8,423814.8,537126.9,621374.2,592475.9,585843.3,777799.4,1541385.5,HDFCBANK
Net Interest Income,233780.4,290919.9,352297.7,429063.6,514480.5,600518.7,693048.1,773520.8,929741.1,1295104.7,HDFCBANK
Gain (Loss) On Sale Of Assets (Rev),111.3,-1.2,-16.2,-11.8,329.5,259.2,465.7,707.6,933.8,,HDFCBANK
Gain on Sale of Invest. & Secur (Rev),5876.4,7351.6,11534.6,9434.9,5583.2,20013.7,39036.9,23316,-10314.1,,HDFCBANK
Total Other Non-Interest Income,89469.2,104766.2,117257.9,151143,183557.8,228516.9,233826.2,293566.3,348500.8,1243457.5,HDFCBANK
Non-Oper. Income (Exp.),,,,,,,,,,,HDFCBANK
Total Non Interest Income,95456.8,112116.5,128776.3,160566,189470.5,248789.7,273328.8,317589.9,339120.5,1243457.5,HDFCBANK
Revenue Before Loan Losses,329237.2,403036.4,481074,589629.7,703951,849308.4,966376.9,1091110.7,1268861.6,2538562.2,HDFCBANK
Provision For Loan Losses,22667.5,29607.7,39908.1,65718.2,83821.8,136999.3,188402.8,179252.6,138540.8,250182.8,HDFCBANK
Total Revenue,306569.7,373428.7,441165.9,523911.4,620129.2,712309.1,777974.1,911858.1,1130320.8,2288379.4,HDFCBANK
Salaries and Other Empl. Benefits,51626.8,63061.4,85047,91939,104511.5,129201.3,136766.7,158970.3,200168.5,292912.7,HDFCBANK
Amort. of Goodwill & Intang. Assets,,,,,,,,,,,HDFCBANK
Occupancy Expense,26285.2,30538.8,35885.1,38049.2,40817.4,43498.4,48430,52132.6,67664.9,,HDFCBANK
"Selling General & Admin Exp., Total",10680.9,12101,12098.9,13098.3,12837.6,11869.9,12524.3,17438.6,20980.9,17317.3,HDFCBANK
(Income)/Loss from Affiliates,-32.5,-37.3,-23.4,-5.2,,,,,,,HDFCBANK
Total Other Non-Interest Expense,57182.5,72617.6,74479.7,96185.8,118781.2,145791,152291.6,174582.8,226522.6,1212463.4,HDFCBANK
Total Non-Interest Expense,145742.8,178281.5,207487.3,239267,276947.6,330360.6,350012.6,403124.3,515336.9,1522693.4,HDFCBANK
EBT Excl. Unusual Items,160827,195147.1,233678.6,284644.4,343181.6,381948.6,427961.5,508733.8,614983.9,765686,HDFCBANK
Total Merger & Rel. Restruct. Charges,,,-274.5,,,,,,,,HDFCBANK
Impairment of Goodwill,,,,,,,,,,,HDFCBANK
Other Unusual Items,,,,,,,,,,,HDFCBANK
EBT Incl. Unusual Items,160827,195147.1,233404.1,284644.4,343181.6,381948.6,427961.5,508733.8,614983.9,765686,HDFCBANK
Income Tax Expense,53794,66936.6,80781.2,99030.8,118725.5,108985.9,109393.8,127224.8,153496.9,111221,HDFCBANK
Earnings from Cont. Ops.,107033,128210.5,152622.9,185613.6,224456.1,272962.7,318567.7,381509,461487,654465,HDFCBANK
Earnings of Discontinued Ops.,,,,,,,,,,,HDFCBANK
Extraord. Item & Account. Change,,,,,,,,,,,HDFCBANK
Net Income to Company,107033,128210.5,152622.9,185613.6,224456.1,272962.7,318567.7,381509,461487,654465,HDFCBANK
Minority Int. in Earnings,-144.1,-197.2,-367.2,-513.4,-1131.8,-423.1,-235.6,-981.5,-1515.9,-13844.6,HDFCBANK
Net Income,106888.9,128013.3,152255.7,185100.2,223324.3,272539.5,318332.1,380527.5,459971.1,640620.4,HDFCBANK
Pref. Dividends and Other Adj.,,,,,,,,,,,HDFCBANK
NI to Common Incl Extra Items,106888.9,128013.3,152255.7,185100.2,223324.3,272539.5,318332.1,380527.5,459971.1,640620.4,HDFCBANK
NI to Common Excl. Extra Items,106888.9,128013.3,152255.7,185100.2,223324.3,272539.5,318332.1,380527.5,459971.1,640620.4,HDFCBANK
Per Share Items,,,,,,,,,,,HDFCBANK
Basic EPS,22.1,25.4,29.9,35.9,41.7,49.8,57.9,68.8,82.6,90.4,HDFCBANK
Basic EPS Excl. Extra Items,22.1,25.4,29.9,35.9,41.7,49.8,57.9,68.8,82.6,90.4,HDFCBANK
Weighted Avg. Basic Shares Out.,4847.6,5034.9,5088.7,5161.1,5360.1,5468.8,5499.7,5533.2,5565.7,7084.9,HDFCBANK
Diluted EPS,21.8,25.1,29.5,35.4,41.2,49.5,57.6,68.3,82.3,90,HDFCBANK
Diluted EPS Excl. Extra Items,21.8,25.1,29.5,35.4,41.2,49.5,57.6,68.3,82.3,90,HDFCBANK
Weighted Avg. Diluted Shares Out.,4903,5095.7,5156.8,5232.1,5413.3,5509.8,5525.4,5570.9,5591.2,7117.2,HDFCBANK
Normalized Basic EPS,20.7,24.2,28.6,34.4,39.8,43.6,48.6,57.3,68.8,65.6,HDFCBANK
Normalized Diluted EPS,20.5,23.9,28.3,33.9,39.4,43.2,48.4,56.9,68.5,65.3,HDFCBANK
Dividends per Share,4,4.8,5.5,6.5,7.5,,6.5,15.5,19,19.5,HDFCBANK
Payout Ratio %,0.2,0.2,0.2,0.2,0.2,0.2,,0.1,0.2,0.1,HDFCBANK
Shares per Depository Receipt,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,HDFCBANK
Supplemental Items,,,,,,,,,,,HDFCBANK
Effective Tax Rate %,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,HDFCBANK
Premiums and Annuity Rev.,147624.5,161787.7,192756.7,233811.6,289496.3,322673.2,381942,468009.5,568787.8,621120.5,HDFCLIFE
Total Interest And Dividend Income,30114.8,36387.4,42543.6,49643.1,59537,72139.9,83076.8,102636.7,135274.7,393697.5,HDFCLIFE
Asset Management Fee,,,,,,,,,,,HDFCLIFE
"Gain (Loss) on Sale of Invest., Total (Rev)",94483,-16781.8,71086.9,39099.4,34042.6,-108072.6,252539.9,103502.7,-1931.7,891.3,HDFCLIFE
Non-Insurance Activities Revenue,,,,,,,,,,,HDFCLIFE
Other Revenue,322.2,467.2,1035.9,1250.2,1971.2,2627.4,1864.9,2113.4,5578.3,3953.5,HDFCLIFE
Total Revenue,272544.5,181860.5,307423.1,323804.4,385047.2,289367.9,719423.5,676262.4,707709.1,1019662.8,HDFCLIFE
Policy Benefits,240374.5,144114,262172.5,265361.5,316627.9,212824,635800.4,577909.6,574516.4,882246.1,HDFCLIFE
Policy Acq. and Underwriting Costs,6234.7,7018.5,7920.2,10749.3,11315.3,14911.8,17124.5,20077.5,28905.8,52620.9,HDFCLIFE
Depreciation & Amort.,,,,,,,,,,,HDFCLIFE
Amort. of Goodwill and Intangibles,,,,,,,,,,,HDFCLIFE
"Selling General & Admin Exp., Total",14803.1,18390.8,23855.2,30767.6,37110.8,41452,45022.3,57833.8,83279.8,19375.6,HDFCLIFE
Provision For Loan Losses,-46,-52.3,59.7,58.8,-165,-365.8,-19.8,-23.6,-103.2,,HDFCLIFE
Salaries and Other Empl. Benefits,,,,,48.2,80.1,73.2,109.2,114.8,32524.1,HDFCLIFE
Other Operating Exp.,1847,2354.1,2835.3,3872.3,4462.4,4933.9,4642,5036,5754,23123.2,HDFCLIFE
Total Operating Exp.,263305.3,171929.7,296723.5,310691.9,369729.6,274567.7,702682.3,660989.6,692674,1009889.9,HDFCLIFE
Operating Income,9239.2,9930.8,10699.6,13112.5,15317.5,14800.2,16741.2,15272.7,15035.2,9772.9,HDFCLIFE
"Interest Expense, Total",,-81.1,-90.6,-107.6,-139.4,-170.6,-454.5,-400.2,-621.9,,HDFCLIFE
Other Non-Operating Inc. (Exp.),,,,,,,,,,-0.1,HDFCLIFE
EBT Excl. Unusual Items,9239.2,9849.7,10609,13004.9,15178.1,14629.6,16286.7,14872.5,14413.2,9772.8,HDFCLIFE
Impairment of Goodwill,,,,,,,,,,,HDFCLIFE
Other Unusual Items,,229.6,,,,,,,,,HDFCLIFE
EBT Incl. Unusual Items,9239.2,10079.3,10609,13004.9,15178.1,14629.6,16286.7,14872.5,14413.2,9772.8,HDFCLIFE
Income Tax Expense,1384.1,1911.4,1739.9,1932.9,2398.8,1655.1,2678,1603.2,730.5,-5968,HDFCLIFE
Earnings from Cont. Ops.,7855.1,8167.9,8869.2,11072,12779.3,12974.4,13608.7,13269.3,13682.8,15740.8,HDFCLIFE
Earnings of Discontinued Ops.,,,,,,,,,,,HDFCLIFE
Extraord. Item & Account. Change,,,,,,,,,,,HDFCLIFE
Net Income to Company,7855.1,8167.9,8869.2,11072,12779.3,12974.4,13608.7,13269.3,13682.8,15740.8,HDFCLIFE
Minority Int. in Earnings,,,,,,,,,,,HDFCLIFE
Net Income,7855.1,8167.9,8869.2,11072,12779.3,12974.4,13608.7,13269.3,13682.8,15740.8,HDFCLIFE
Pref. Dividends and Other Adj.,,,,,,,,,,,HDFCLIFE
NI to Common Incl Extra Items,7855.1,8167.9,8869.2,11072,12779.3,12974.4,13608.7,13269.3,13682.8,15740.8,HDFCLIFE
NI to Common Excl. Extra Items,7855.1,8167.9,8869.2,11072,12779.3,12974.4,13608.7,13269.3,13682.8,15740.8,HDFCLIFE
Per Share Items,,,,,,,,,,,HDFCLIFE
Basic EPS,3.9,4.1,4.4,5.5,6.3,6.4,6.7,6.5,6.4,7.3,HDFCLIFE
Basic EPS Excl. Extra Items,3.9,4.1,4.4,5.5,6.3,6.4,6.7,6.5,6.4,7.3,HDFCLIFE
Weighted Avg. Basic Shares Out.,1994.9,1994.9,1996.9,2004.6,2014.6,2017.9,2019.7,2044.7,2133.3,2150.4,HDFCLIFE
Diluted EPS,3.9,4.1,4.4,5.5,6.3,6.4,6.7,6.5,6.4,7.3,HDFCLIFE
Diluted EPS Excl. Extra Items,3.9,4.1,4.4,5.5,6.3,6.4,6.7,6.5,6.4,7.3,HDFCLIFE
Weighted Avg. Diluted Shares Out.,1999.1,1995.6,2007.9,2017,2019.2,2020.3,2022.4,2047,2133.9,2153.3,HDFCLIFE
Normalized Basic EPS,2.9,3.1,3.3,4.1,4.7,4.5,5,4.5,4.2,2.8,HDFCLIFE
Normalized Diluted EPS,2.9,3.1,3.3,4,4.7,4.5,5,4.5,4.2,2.8,HDFCLIFE
Dividends per Share,0.7,0.9,1.1,1.4,1.6,,2,1.7,1.9,2,HDFCLIFE
Payout Ratio %,0.2,0.2,0.2,0.2,0.3,,,,,,HDFCLIFE
Supplemental Items,,,,,,,,,,,HDFCLIFE
EBITDA,9527.9,10239.2,11112,13559.6,15772.6,15265.2,17247.4,15796.6,15475,10212.7,HDFCLIFE
EBITA,9239.2,9930.8,10699.6,13112.5,15317.5,14800.2,16741.2,15272.7,15035.2,9772.9,HDFCLIFE
EBIT,9239.2,9930.8,10699.6,13112.5,15317.5,14800.2,16741.2,15272.7,15035.2,9772.9,HDFCLIFE
EBITDAR,10143.4,10874.7,11603.2,14259,16505.3,16077.1,18166.3,16768.7,16841.4,,HDFCLIFE
Effective Tax Rate %,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,,HDFCLIFE
Normalized Net Income,5774.5,6156.1,6630.6,8128.1,9486.3,9143.5,10179.2,9295.3,9008.3,6108,HDFCLIFE
Revenue,275380.3,284571.2,286104.3,324583.7,339708.2,292539.7,309591.9,295512.8,341583.8,377886.2,HEROMOTOCO
Other Revenue,,,,,,,,,,,HEROMOTOCO
Total Revenue,275380.3,284571.2,286104.3,324583.7,339708.2,292539.7,309591.9,295512.8,341583.8,377886.2,HEROMOTOCO
Cost Of Goods Sold,198540.7,194101.3,192378,220184,235852.1,199713.6,218786,210673.5,240987,255094.4,HEROMOTOCO
Gross Profit,76839.6,90469.9,93726.3,104399.7,103856.1,92826.1,90805.9,84839.3,100596.8,122791.8,HEROMOTOCO
Selling General & Admin Exp.,19061.8,21387.6,22800.8,25174.6,27016.7,26529.4,25923.9,27844.5,31836.4,24715.5,HEROMOTOCO
Provision for Bad Debts,,,67,,,,,,,,HEROMOTOCO
R & D Exp.,,,,,,,,,,,HEROMOTOCO
Depreciation & Amort.,5373.7,4432.5,5022.5,5749.8,6244.4,8457.6,7151.2,6895.2,6973.9,7573.6,HEROMOTOCO
Other Operating Expense/(Income),22486.8,24844.3,24951.9,25806.6,26538.6,25381.5,23840.2,22318.8,27300.9,44580,HEROMOTOCO
"Other Operating Exp., Total",46922.3,50664.4,52842.2,56731,59799.7,60368.5,56915.3,57058.5,66111.2,76869.1,HEROMOTOCO
Operating Income,29917.3,39805.5,40884.1,47668.7,44056.4,32457.6,33890.6,27780.8,34485.6,45922.7,HEROMOTOCO
Interest Expense,-117,-118.7,-234,-267.8,-309.5,-177.8,-272.9,-294.2,-868.6,-763.7,HEROMOTOCO
Interest and Invest. Income,1515.7,1729.6,1972.8,2277.5,3597.9,3260.4,1018.1,1907.2,2630.9,,HEROMOTOCO
Net Interest Exp.,1398.7,1610.9,1738.8,2009.7,3288.4,3082.6,745.2,1613,1762.3,-763.7,HEROMOTOCO
Income/(Loss) from Affiliates,151.5,343.3,549.2,496.6,607.6,346.3,-465.6,-1990.5,31.1,-1202.5,HEROMOTOCO
Currency Exchange Gains (Loss),74.3,58.7,8.5,-33.2,13.8,243.6,3.6,181.4,-473,,HEROMOTOCO
Other Non-Operating Inc. (Exp.),,-27.4,-38.8,-40.2,-62.3,-288.6,-191.2,-236.8,-180.2,8545.4,HEROMOTOCO
EBT Excl. Unusual Items,31541.8,41791,43141.8,50101.6,47903.9,35841.5,33982.6,27347.9,35625.8,52501.9,HEROMOTOCO
Restructuring Charges,,,,,,-601.1,,,,-1599.9,HEROMOTOCO
Impairment of Goodwill,,,,,,,,,,,HEROMOTOCO
Gain (Loss) On Sale Of Invest.,1750.9,2334.9,5795.4,2906.8,3197.2,3578.5,4548.4,3329.3,3003.1,,HEROMOTOCO
Gain (Loss) On Sale Of Assets,-221.6,-255.9,-83.2,-87.4,-58.1,-82.9,-37.8,-96.1,7.3,,HEROMOTOCO
Other Unusual Items,,,,,,7374.8,,,,,HEROMOTOCO
EBT Incl. Unusual Items,33071.1,43870,48854,52921,51043,46110.8,38493.2,30581.1,38636.2,50902,HEROMOTOCO
Income Tax Expense,9434.5,12747.1,13391,15699.3,16379.5,9516.7,9132.7,7290.6,10637.2,13480.4,HEROMOTOCO
Earnings from Cont. Ops.,23636.6,31122.9,35463,37221.7,34663.5,36594.1,29360.5,23290.5,27999,37421.6,HEROMOTOCO
Earnings of Discontinued Ops.,,,,,,,,,,,HEROMOTOCO
Extraord. Item & Account. Change,,,,,,,,,,,HEROMOTOCO
Net Income to Company,23636.6,31122.9,35463,37221.7,34663.5,36594.1,29360.5,23290.5,27999,37421.6,HEROMOTOCO
Minority Int. in Earnings,10.4,296.9,379.7,-17.7,-222.6,-213,-183,-121.7,100.6,26.7,HEROMOTOCO
Net Income,23647,31419.8,35842.7,37204,34440.9,36381.1,29177.5,23168.8,28099.6,37448.3,HEROMOTOCO
Pref. Dividends and Other Adj.,,,,,,,,,,,HEROMOTOCO
NI to Common Incl Extra Items,23647,31419.8,35842.7,37204,34440.9,36381.1,29177.5,23168.8,28099.6,37448.3,HEROMOTOCO
NI to Common Excl. Extra Items,23647,31419.8,35842.7,37204,34440.9,36381.1,29177.5,23168.8,28099.6,37448.3,HEROMOTOCO
Per Share Items,,,,,,,,,,,HEROMOTOCO
Basic EPS,118.4,157.3,179.5,186.3,172.4,182.1,146.1,116,140.6,187.4,HEROMOTOCO
Basic EPS Excl. Extra Items,118.4,157.3,179.5,186.3,172.4,182.1,146.1,116,140.6,187.4,HEROMOTOCO
Weighted Avg. Basic Shares Out.,199.7,199.7,199.7,199.7,199.7,199.7,199.8,199.8,199.8,199.9,HEROMOTOCO
Diluted EPS,118.4,157.3,179.5,186.3,172.4,182.1,146,115.9,140.5,187,HEROMOTOCO
Diluted EPS Excl. Extra Items,118.4,157.3,179.5,186.3,172.4,182.1,146,115.9,140.5,187,HEROMOTOCO
Weighted Avg. Diluted Shares Out.,199.7,199.7,199.7,199.7,199.7,199.7,199.8,199.9,200,200.2,HEROMOTOCO
Normalized Basic EPS,98.8,132.3,136.9,156.7,148.8,111.1,105.4,84.9,111.9,164.3,HEROMOTOCO
Normalized Diluted EPS,98.8,132.3,136.9,156.7,148.8,111.1,105.4,84.9,111.8,164,HEROMOTOCO
Dividends per Share,60,72,85,95,87,90,90,95,100,115,HEROMOTOCO
Payout Ratio %,0.8,0.4,0.5,0.5,0.6,0.5,0.7,0.8,0.7,0.7,HEROMOTOCO
Supplemental Items,,,,,,,,,,,HEROMOTOCO
EBITDA,34644.9,43686.8,45412.5,52986.3,49549.6,39037.7,40110.2,33836.1,40421.5,53496.3,HEROMOTOCO
Revenue,1042811,987589.1,1001837.8,1151828,1305420,1181440,1320080,1950590,2232020,2159620,HINDALCO
Other Revenue,,,,,,,,,,,HINDALCO
Total Revenue,1042811,987589.1,1001837.8,1151828,1305420,1181440,1320080,1950590,2232020,2159620,HINDALCO
Cost Of Goods Sold,733102.7,685994.6,641844.3,794094.5,883070,779660,851080,1288310,1581160,1483310,HINDALCO
Gross Profit,309708.3,301594.5,359993.5,357733.5,422350,401780,469000,662280,650860,676310,HINDALCO
Selling General & Admin Exp.,79912.3,83139.1,88321.4,89403.4,93640,88320,107820,120230,130630,147780,HINDALCO
Provision for Bad Debts,,,,,,,-310,100,110,250,HINDALCO
R & D Exp.,,,,,,,,,,,HINDALCO
Depreciation & Amort.,34933.8,43468,44572.4,45062.4,47770,50910,66280,67290,70860,75210,HINDALCO
Other Operating Expense/(Income),141807.7,129117,146915.5,128383.8,171880,163250,183360,253880,286540,285860,HINDALCO
"Other Operating Exp., Total",256653.8,255724.1,279809.3,262849.6,313290,302480,357150,441500,488140,509100,HINDALCO
Operating Income,53054.5,45870.4,80184.2,94883.9,109060,99300,111850,220780,162720,167210,HINDALCO
Interest Expense,-40949.7,-48523.3,-46824.2,-37290.9,-35840,-34610,-35600,-32210,-36020,-38140,HINDALCO
Interest and Invest. Income,4379,6008.9,4537.8,4828.8,5880,3240,2060,2570,5930,,HINDALCO
Net Interest Exp.,-36570.7,-42514.4,-42286.4,-32462.1,-29960,-31370,-33540,-29640,-30090,-38140,HINDALCO
Income/(Loss) from Affiliates,1747,1715.4,-251.4,-1250.9,,40,50,60,90,20,HINDALCO
Currency Exchange Gains (Loss),-205.2,-709.3,489.8,192.9,-660,-1170,580,-260,-2190,,HINDALCO
Other Non-Operating Inc. (Exp.),1206.9,-143.5,-1070.6,-1223.9,-1140,1410,1480,880,1510,13880,HINDALCO
EBT Excl. Unusual Items,19232.5,4218.6,37065.6,60139.9,77300,68210,80420,191820,132040,142970,HINDALCO
Restructuring Charges,,,,,,-2200,-1310,450,,,HINDALCO
Merger & Related Restruct. Charges,,,,,,-4440,,,,,HINDALCO
Impairment of Goodwill,,,,,,,,,,,HINDALCO
Gain (Loss) On Sale Of Invest.,4416.7,3106.7,5549,4148.9,2940,4340,5430,3590,2020,,HINDALCO
Gain (Loss) On Sale Of Assets,1108,-223.7,-491.7,-660.4,-670,-100,-380,-1000,-460,,HINDALCO
Asset Writedown,-1924.4,-12988.6,-115.4,-1002.5,110,-440,-1380,-1550,-2080,-3600,HINDALCO
Legal Settlements,,,,-3134,,,,,,,HINDALCO
Other Unusual Items,-17683.5,5461.5,-8858.6,22078.5,1150,-6130,-3730,2430,890,750,HINDALCO
EBT Incl. Unusual Items,5149.3,-425.5,33148.9,81570.4,80830,59240,79050,195740,132410,140120,HINDALCO
Income Tax Expense,2563.8,4984.3,14325.9,20741.7,25880,21570,27230,53730,31440,38570,HINDALCO
Earnings from Cont. Ops.,2585.5,-5409.8,18823,60828.7,54950,37670,51820,142010,100970,101550,HINDALCO
Earnings of Discontinued Ops.,,-1605.2,,,,,-16990,-4710,,,HINDALCO
Extraord. Item & Account. Change,,,,,,,,,,,HINDALCO
Net Income to Company,2585.5,-7015,18823,60828.7,54950,37670,34830,137300,100970,101550,HINDALCO
Minority Int. in Earnings,5956.6,4507.6,174.4,0.5,10,,,,,,HINDALCO
Net Income,8542.1,-2507.4,18997.4,60829.2,54960,37670,34830,137300,100970,101550,HINDALCO
Pref. Dividends and Other Adj.,,6822.7,,,,,,,,,HINDALCO
NI to Common Incl Extra Items,8542.1,-9330.1,18997.4,60829.2,54960,37670,34830,137300,100970,101550,HINDALCO
NI to Common Excl. Extra Items,8542.1,-7724.9,18997.4,60829.2,54960,37670,51820,142010,100970,101550,HINDALCO
Per Share Items,,,,,,,,,,,HINDALCO
Basic EPS,4.1,-4.6,9.2,27.3,24.7,16.9,15.7,61.7,45.4,45.7,HINDALCO
Basic EPS Excl. Extra Items,4.1,-3.8,9.2,27.3,24.7,16.9,23.3,63.9,45.4,45.7,HINDALCO
Weighted Avg. Basic Shares Out.,2064.8,2048.7,2060.3,2227.8,2227.6,2224,2224.2,2224.1,2222.9,2221.6,HINDALCO
Diluted EPS,4.1,-4.6,9.2,27.3,24.7,16.9,15.7,61.7,45.4,45.6,HINDALCO
Diluted EPS Excl. Extra Items,4.1,-3.8,9.2,27.3,24.7,16.9,23.3,63.8,45.4,45.6,HINDALCO
Weighted Avg. Diluted Shares Out.,2066.7,2050.1,2061.8,2229.1,2228.7,2224.9,2225.4,2227,2225.8,2224.5,HINDALCO
Normalized Basic EPS,8.7,3.5,11.3,16.9,21.7,19.2,22.6,53.9,37.1,40.2,HINDALCO
Normalized Diluted EPS,8.7,3.5,11.3,16.9,21.7,19.2,22.6,53.8,37.1,40.2,HINDALCO
Dividends per Share,1,1,1.1,1.2,1.2,1,3,4,3,3.5,HINDALCO
Payout Ratio %,0.3,,0.1,0,0.1,0.1,0.1,0,0.1,0.1,HINDALCO
Revenue,319721.9,321860,331620,355450,393100,397830,470280,524460,605800,618960,HINDUNILVR
Other Revenue,,,,,,,,,,,HINDUNILVR
Total Revenue,319721.9,321860,331620,355450,393100,397830,470280,524460,605800,618960,HINDUNILVR
Cost Of Goods Sold,162976.6,159970,164440,168500,186170,184150,223110,259440,319390,299870,HINDUNILVR
Gross Profit,156745.3,161890,167180,186950,206930,213680,247170,265020,286410,319090,HINDUNILVR
Selling General & Admin Exp.,58865.9,56070,55600,63080,68080,66520,72290,73900,78640,96120,HINDUNILVR
Provision for Bad Debts,,,,,,,,,,,HINDUNILVR
R & D Exp.,,,,,,,,,,,HINDUNILVR
Depreciation & Amort.,3223.9,3510,4300,5180,5650,10020,10740,10910,11370,12160,HINDUNILVR
